序号,院校代码,院校,年份,口径,专业/学科,总分线,官方URL,复核方法,结论
147,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
148,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
149,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
150,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
151,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
152,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
153,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
154,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),310,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
155,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),300,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
156,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),315,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
157,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),375,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
158,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),340,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
159,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),350,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
160,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),金融(专硕),370,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
161,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),金融(专硕),340,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
162,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),金融(专硕),370,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
163,10248,上海交通大学,2024,学校复试基本线(学科门类/类别),法学(学硕),370,https://www.gs.sjtu.edu.cn/storage/gs/web/yzbcn/article/2024/04/c2662f092fb2abd1a53f37f7763e0355.pdf,官方PDF/公告原文解析核录（总分线）,通过
164,10248,上海交通大学,2025,学校复试基本线(学科门类/类别),法学(学硕),360,https://www.shsmu.edu.cn/__local/A/02/45/B1CA670395206A1F035624B155A_9723BBF0_1B5F1.pdf,官方PDF/公告原文解析核录（总分线）,通过
165,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),法学(学硕),345,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
166,10248,上海交通大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),380,https://yzb.sjtu.edu.cn/post/3503,官方PDF/公告原文解析核录（总分线）,通过
167,10284,南京大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),305,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
168,10284,南京大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),305,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
169,10284,南京大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),295,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
170,10284,南京大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),305,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
171,10284,南京大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),305,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
172,10284,南京大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),295,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
173,10284,南京大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),305,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
174,10284,南京大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),305,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
175,10284,南京大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),295,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
176,10284,南京大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),315,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
177,10284,南京大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),315,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
178,10284,南京大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),320,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
179,10284,南京大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),315,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
180,10284,南京大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),315,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
181,10284,南京大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),320,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
182,10284,南京大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),365,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
183,10284,南京大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),350,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
184,10284,南京大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),360,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
185,10284,南京大学,2024,学校复试基本线(学科门类/类别),金融(专硕),360,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
186,10284,南京大学,2025,学校复试基本线(学科门类/类别),金融(专硕),375,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
187,10284,南京大学,2026,学校复试基本线(学科门类/类别),金融(专硕),325,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
188,10284,南京大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),360,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
189,10284,南京大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),345,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
190,10284,南京大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),347,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
191,10284,南京大学,2024,学校复试基本线(学科门类/类别),法学(学硕),340,https://yzb.nju.edu.cn/3e/ff/c47863a671487/page.htm,官方PDF/公告原文解析核录（总分线）,通过
192,10284,南京大学,2025,学校复试基本线(学科门类/类别),法学(学硕),340,https://grawww.nju.edu.cn/6b/cb/c905a748491/page.htm,官方PDF/公告原文解析核录（总分线）,通过
193,10284,南京大学,2026,学校复试基本线(学科门类/类别),法学(学硕),335,https://yzb.nju.edu.cn/9c/f9/c47863a826617/page.htm,官方PDF/公告原文解析核录（总分线）,通过
194,10286,东南大学,2024,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
195,10286,东南大学,2025,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),310,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
196,10286,东南大学,2026,学校复试基本线(学科门类/类别),计算机科学与技术(学硕),320,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
197,10286,东南大学,2024,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
198,10286,东南大学,2025,学校复试基本线(学科门类/类别),机械工程(学硕),310,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
199,10286,东南大学,2026,学校复试基本线(学科门类/类别),机械工程(学硕),320,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
200,10286,东南大学,2024,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
201,10286,东南大学,2025,学校复试基本线(学科门类/类别),信息与通信工程(学硕),310,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
202,10286,东南大学,2026,学校复试基本线(学科门类/类别),信息与通信工程(学硕),320,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
203,10286,东南大学,2024,学校复试基本线(学科门类/类别),计算机技术(专硕),310,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
204,10286,东南大学,2025,学校复试基本线(学科门类/类别),计算机技术(专硕),310,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
205,10286,东南大学,2026,学校复试基本线(学科门类/类别),计算机技术(专硕),320,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
206,10286,东南大学,2024,学校复试基本线(学科门类/类别),软件工程(专硕),310,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
207,10286,东南大学,2025,学校复试基本线(学科门类/类别),软件工程(专硕),310,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
208,10286,东南大学,2026,学校复试基本线(学科门类/类别),软件工程(专硕),320,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
209,10286,东南大学,2024,学校复试基本线(学科门类/类别),金融学(学硕),360,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
210,10286,东南大学,2025,学校复试基本线(学科门类/类别),金融学(学硕),355,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
211,10286,东南大学,2026,学校复试基本线(学科门类/类别),金融学(学硕),365,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
212,10286,东南大学,2024,学校复试基本线(学科门类/类别),金融(专硕),365,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
213,10286,东南大学,2025,学校复试基本线(学科门类/类别),金融(专硕),335,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
214,10286,东南大学,2026,学校复试基本线(学科门类/类别),金融(专硕),380,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
215,10286,东南大学,2024,学校复试基本线(学科门类/类别),教育学(学硕),350,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
216,10286,东南大学,2025,学校复试基本线(学科门类/类别),教育学(学硕),341,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
217,10286,东南大学,2026,学校复试基本线(学科门类/类别),教育学(学硕),350,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
218,10286,东南大学,2024,学校复试基本线(学科门类/类别),法学(学硕),375,https://yzb.seu.edu.cn/2024/0314/c6676a484092/page.htm,官方PDF/公告原文解析核录（总分线）,通过
219,10286,东南大学,2025,学校复试基本线(学科门类/类别),法学(学硕),345,https://yzb.seu.edu.cn/2025/0314/c6676a521705/page.htm,官方PDF/公告原文解析核录（总分线）,通过
220,10286,东南大学,2026,学校复试基本线(学科门类/类别),法学(学硕),355,https://yzb.seu.edu.cn/2026/0314/c6676a558100/page.psp,官方PDF/公告原文解析核录（总分线）,通过
221,10269,华东师范大学,2024,分专业复试线,计算机科学与技术(学硕),340,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
222,10269,华东师范大学,2025,分专业复试线,计算机科学与技术(学硕),325,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
223,10269,华东师范大学,2024,分专业复试线,信息与通信工程(学硕),273,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
224,10269,华东师范大学,2025,分专业复试线,信息与通信工程(学硕),310,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
225,10269,华东师范大学,2024,分专业复试线,计算机技术(专硕),273,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
226,10269,华东师范大学,2025,分专业复试线,计算机技术(专硕),260,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
227,10269,华东师范大学,2026,分专业复试线,计算机技术(专硕),264,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
228,10269,华东师范大学,2024,分专业复试线,软件工程(专硕),273,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
229,10269,华东师范大学,2025,分专业复试线,软件工程(专硕),260,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
230,10269,华东师范大学,2026,分专业复试线,软件工程(专硕),264,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
231,10269,华东师范大学,2024,分专业复试线,金融学(学硕),367,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
232,10269,华东师范大学,2025,分专业复试线,金融学(学硕),377,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
233,10269,华东师范大学,2026,分专业复试线,金融学(学硕),360,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
234,10269,华东师范大学,2024,分专业复试线,金融(专硕),368,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
235,10269,华东师范大学,2025,分专业复试线,金融(专硕),351,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
236,10269,华东师范大学,2026,分专业复试线,金融(专硕),357,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
237,10269,华东师范大学,2024,分专业复试线,法学(学硕),359,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
238,10269,华东师范大学,2025,分专业复试线,法学(学硕),338,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
239,10269,华东师范大学,2026,分专业复试线,法学(学硕),356,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
240,10269,华东师范大学,2024,分专业复试线,教育学(学硕),376,https://yjszs.ecnu.edu.cn/_upload/article/files/db/d7/3bd3f224457babca17731a7d8310/3ff99930-f6e0-488d-9ef9-aebdf36d875c.pdf,官方公告原文核录（分学院/专业口径）,通过
241,10269,华东师范大学,2025,分专业复试线,教育学(学硕),343,https://yjszs.ecnu.edu.cn/58/c8/c43463a678088/page.htm,官方公告原文核录（分学院/专业口径）,通过
242,10269,华东师范大学,2026,分专业复试线,教育学(学硕),365,https://yjszs.ecnu.edu.cn/6b/94/c43463a748436/page.htm,官方公告原文核录（分学院/专业口径）,通过
243,10272,上海财经大学,2024,分专业复试线,金融学(学硕),338,https://gs.sufe.edu.cn/Home/Detail/7586,官方网页表格逐字核录（分专业口径）,通过
244,10272,上海财经大学,2025,分专业复试线,金融学(学硕),323,https://gs.sufe.edu.cn/Home/Detail/7812,官方网页表格逐字核录（分专业口径）,通过
245,10272,上海财经大学,2026,分专业复试线,金融学(学硕),324,https://gs.sufe.edu.cn/Home/Detail/7976,官方网页表格逐字核录（分专业口径）,通过
246,10272,上海财经大学,2024,分专业复试线,金融(专硕),338,https://gs.sufe.edu.cn/Home/Detail/7586,官方网页表格逐字核录（分专业口径）,通过
247,10272,上海财经大学,2025,分专业复试线,金融(专硕),323,https://gs.sufe.edu.cn/Home/Detail/7812,官方网页表格逐字核录（分专业口径）,通过
248,10272,上海财经大学,2026,分专业复试线,金融(专硕),324,https://gs.sufe.edu.cn/Home/Detail/7976,官方网页表格逐字核录（分专业口径）,通过
249,10272,上海财经大学,2024,分专业复试线,法学(学硕),331,https://gs.sufe.edu.cn/Home/Detail/7586,官方网页表格逐字核录（分专业口径）,通过
250,10272,上海财经大学,2025,分专业复试线,法学(学硕),323,https://gs.sufe.edu.cn/Home/Detail/7812,官方网页表格逐字核录（分专业口径）,通过
251,10272,上海财经大学,2026,分专业复试线,法学(学硕),321,https://gs.sufe.edu.cn/Home/Detail/7976,官方网页表格逐字核录（分专业口径）,通过
252,10337,浙江工业大学,2024,分专业复试线,信息与通信工程(学硕),313,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
253,10337,浙江工业大学,2025,分专业复试线,信息与通信工程(学硕),260,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
254,10337,浙江工业大学,2026,分专业复试线,信息与通信工程(学硕),264,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
255,10337,浙江工业大学,2024,分专业复试线,计算机科学与技术(学硕),309,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
256,10337,浙江工业大学,2025,分专业复试线,计算机科学与技术(学硕),278,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
257,10337,浙江工业大学,2026,分专业复试线,计算机科学与技术(学硕),293,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
258,10337,浙江工业大学,2024,分专业复试线,计算机技术(专硕),282,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
259,10337,浙江工业大学,2026,分专业复试线,计算机技术(专硕),300,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
260,10337,浙江工业大学,2024,分专业复试线,软件工程(专硕),275,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
261,10337,浙江工业大学,2025,分专业复试线,软件工程(专硕),270,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
262,10337,浙江工业大学,2026,分专业复试线,软件工程(专硕),264,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
263,10337,浙江工业大学,2024,分专业复试线,教育学(学硕),350,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
264,10337,浙江工业大学,2025,分专业复试线,教育学(学硕),341,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
265,10337,浙江工业大学,2026,分专业复试线,教育学(学硕),347,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
266,10337,浙江工业大学,2024,分专业复试线,法学(学硕),331,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
267,10337,浙江工业大学,2025,分专业复试线,法学(学硕),323,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
268,10337,浙江工业大学,2026,分专业复试线,法学(学硕),321,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
269,10337,浙江工业大学,2024,分专业复试线,金融(专硕),338,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
270,10337,浙江工业大学,2025,分专业复试线,金融(专硕),349,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
271,10337,浙江工业大学,2026,分专业复试线,金融(专硕),324,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
272,10337,浙江工业大学,2024,分专业复试线,金融学(学硕),338,http://www.yz.zjut.edu.cn/2024/0328/c4167a256203/page.htm,官方分数线原图本地OCR核录,通过
273,10337,浙江工业大学,2025,分专业复试线,金融学(学硕),323,http://www.yz.zjut.edu.cn/2025/0327/c4270a301258/page.htm,官方分数线原图本地OCR核录,通过
274,10337,浙江工业大学,2026,分专业复试线,金融学(学硕),264,http://www.yz.zjut.edu.cn/2026/0328/c4270a329985/page.htm,官方分数线原图本地OCR核录,通过
275,10338,浙江理工大学,2026,分专业复试线,计算机科学与技术(学硕),264,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
276,10338,浙江理工大学,2026,分专业复试线,计算机技术(专硕),338,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
277,10338,浙江理工大学,2026,分专业复试线,机械工程(学硕),264,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
278,10338,浙江理工大学,2026,分专业复试线,信息与通信工程(学硕),264,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
279,10338,浙江理工大学,2026,分专业复试线,金融(专硕),324,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
280,10338,浙江理工大学,2026,分专业复试线,法学(学硕),321,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
281,10338,浙江理工大学,2026,分专业复试线,金融学(学硕),324,https://gradadmission.zstu.edu.cn/info/1011/3343.htm,官方网页表格逐字核录（分专业口径）,通过
282,10486,武汉大学,2024,自划线-分培养单位复试线,计算机科学与技术(学硕),350,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
283,10486,武汉大学,2025,自划线-分培养单位复试线,计算机科学与技术(学硕),325,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
284,10486,武汉大学,2024,自划线-分培养单位复试线,信息与通信工程(学硕),315,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
285,10486,武汉大学,2025,自划线-分培养单位复试线,信息与通信工程(学硕),310,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
286,10486,武汉大学,2024,自划线-分培养单位复试线,机械工程(学硕),300,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
287,10486,武汉大学,2025,自划线-分培养单位复试线,机械工程(学硕),290,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
288,10486,武汉大学,2024,自划线-分培养单位复试线,计算机技术(专硕),335,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
289,10486,武汉大学,2025,自划线-分培养单位复试线,计算机技术(专硕),320,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
290,10486,武汉大学,2024,自划线-分培养单位复试线,软件工程(专硕),315,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
291,10486,武汉大学,2025,自划线-分培养单位复试线,软件工程(专硕),310,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
